satisfaction_level,time_spent_company,last_evaluation,number_project,salary,average_monthly_hours,Work_accident,promotion_last_5years,department
0.69,8,43%,5,medium,113,0,0,technical
0.5,8,91%,4,medium,144,0,0,management
0.71,8,93%,5,medium,140,0,0,marketing
0.5,4,68%,3,medium,245,0,0,marketing
0.93,3,60%,3,high,188,0,0,marketing
0.95,10,77%,5,medium,199,1,0,sales
0.17,10,61%,6,medium,154,1,0,sales
0.92,7,68%,4,medium,138,0,0,sales
0.64,7,48%,3,high,147,0,0,sales
0.27,7,42%,6,medium,173,0,0,sales
0.66,7,87%,3,high,223,0,0,sales
0.59,3,69%,3,low,200,0,0,sales
0.93,10,98%,4,medium,189,0,0,sales
0.58,10,67%,5,medium,133,0,0,technical
0.96,10,60%,3,medium,160,0,0,support
0.69,10,85%,3,medium,153,0,0,support
0.41,10,38%,4,low,142,1,0,support
0.36,10,41%,3,low,167,0,0,support
0.71,2,78%,4,low,227,0,0,support
0.94,4,90%,4,low,144,0,0,support
0.51,3,76%,4,low,140,0,0,support
0.83,3,48%,4,low,220,1,0,support
0.22,3,62%,3,low,180,0,0,support
0.66,4,89%,4,low,173,0,0,support
0.14,5,58%,3,low,179,0,0,support
0.16,5,96%,5,low,137,1,0,technical
0.81,3,78%,3,high,165,0,0,technical
0.73,3,94%,3,low,177,0,0,technical
0.7,3,58%,5,low,168,0,0,management
0.62,4,73%,3,low,245,0,0,IT
0.5,2,83%,5,low,258,0,0,IT
0.7,2,88%,3,high,159,0,0,IT
0.53,3,73%,3,low,163,1,0,IT
0.87,2,90%,3,low,174,0,0,IT
0.59,2,60%,3,low,214,1,0,product_mng
0.94,3,67%,4,high,191,1,0,product_mng
0.2,5,53%,5,low,272,0,0,product_mng
0.42,2,44%,3,medium,183,0,0,product_mng
0.43,2,66%,4,high,135,0,0,IT
0.43,2,76%,6,high,154,0,0,management
0.77,3,86%,5,high,238,0,0,management
0.76,3,98%,2,high,235,0,0,management
0.82,4,90%,3,high,215,0,0,management
0.75,2,66%,5,high,234,0,0,management
0.63,3,98%,4,high,187,0,0,management
0.51,3,75%,3,medium,133,0,0,sales
0.23,5,70%,3,medium,123,0,0,sales
0.77,3,58%,4,medium,202,0,0,sales
0.54,3,63%,4,medium,140,0,0,sales
0.63,3,85%,4,high,182,1,0,sales
0.55,2,45%,3,low,179,1,0,sales
0.31,3,63%,3,medium,150,1,0,sales
0.98,3,74%,4,medium,151,0,0,sales
0.16,7,95%,6,medium,117,0,0,sales
0.54,7,78%,3,medium,156,0,0,sales
0.73,7,48%,3,medium,211,0,0,sales
0.16,7,63%,6,medium,286,0,1,sales
0.57,7,82%,5,medium,233,0,1,sales
0.88,3,88%,4,medium,222,1,1,sales
0.95,7,81%,4,medium,258,0,1,sales
0.93,7,70%,5,high,231,0,1,sales
0.91,7,58%,3,low,220,0,1,sales
0.77,3,82%,4,low,134,0,1,sales
0.24,3,94%,6,low,141,1,0,sales
0.74,3,74%,5,high,160,1,0,sales
0.53,3,59%,4,low,259,0,0,sales
0.89,3,77%,5,low,232,0,0,sales
0.23,2,77%,5,low,272,0,0,sales
0.69,6,66%,3,high,215,0,0,sales
0.52,3,72%,4,low,222,0,0,sales
0.9,8,58%,3,low,244,0,0,sales
0.92,8,63%,5,low,224,1,0,sales
0.72,8,59%,5,low,200,1,0,sales
0.92,8,61%,4,low,143,0,0,sales
0.79,8,86%,5,low,238,0,0,sales
0.48,3,89%,4,low,145,0,0,sales
0.27,10,76%,4,medium,108,0,0,sales
0.67,10,49%,3,medium,247,0,0,sales
0.48,10,70%,3,medium,213,0,0,sales
0.99,8,60%,4,medium,209,1,0,IT
